"gamecube","Aggressive Inline","none","https://www.metacritic.com/game/gamecube/aggressive-inline",88,7.8,"Jul 31, 2002"
"gamecube","MVP Baseball 2005","none","https://www.metacritic.com/game/gamecube/mvp-baseball-2005",88,7.7,"Feb 22, 2005"
"gamecube","Tiger Woods PGA Tour 2005","none","https://www.metacritic.com/game/gamecube/tiger-woods-pga-tour-2005",88,,"Sep 20, 2004"
"gamecube","Super Monkey Ball 2","none","https://www.metacritic.com/game/gamecube/super-monkey-ball-2",87,8.4,"Aug 25, 2002"
"gamecube","Beyond Good & Evil","none","https://www.metacritic.com/game/gamecube/beyond-good-evil",87,8.5,"Dec 11, 2003"
"gamecube","Paper Mario: The Thousand-Year Door","none","https://www.metacritic.com/game/gamecube/paper-mario-the-thousand-year-door",87,9.1,"Oct 11, 2004"
"gamecube","Mario Kart: Double Dash!!","none","https://www.metacritic.com/game/gamecube/mario-kart-double-dash!!",87,8.6,"Nov 17, 2003"
"gamecube","Animal Crossing","none","https://www.metacritic.com/game/gamecube/animal-crossing",87,8.8,"Sep 15, 2002"
"gamecube","Super Monkey Ball","none","https://www.metacritic.com/game/gamecube/super-monkey-ball",87,8.1,"Nov 17, 2001"
"gamecube","SSX Tricky","none","https://www.metacritic.com/game/gamecube/ssx-tricky",87,8.5,"Dec 2, 2001"
"gamecube","Fight Night Round 2","none","https://www.metacritic.com/game/gamecube/fight-night-round-2",87,8.2,"Feb 28, 2005"
"gamecube","FIFA Soccer 2003","none","https://www.metacritic.com/game/gamecube/fifa-soccer-2003",86,7.9,"Nov 14, 2002"
"gamecube","The Legend of Zelda: Four Swords Adventures","none","https://www.metacritic.com/game/gamecube/the-legend-of-zelda-four-swords-adventures",86,7.5,"Jun 7, 2004"
"gamecube","Tales of Symphonia","none","https://www.metacritic.com/game/gamecube/tales-of-symphonia",86,9.1,"Jul 13, 2004"
"gamecube","Viewtiful Joe 2","none","https://www.metacritic.com/game/gamecube/viewtiful-joe-2",86,8.3,"Nov 18, 2004"
"gamecube","Madden NFL 06","none","https://www.metacritic.com/game/gamecube/madden-nfl-06",86,7.8,"Aug 8, 2005"
"gamecube","NHL 2004","none","https://www.metacritic.com/game/gamecube/nhl-2004",85,7.4,"Sep 22, 2003"
"gamecube","Phantasy Star Online Episode I & II","none","https://www.metacritic.com/game/gamecube/phantasy-star-online-episode-i-ii",85,8.4,"Oct 29, 2002"
"gamecube","Fire Emblem: Path of Radiance","none","https://www.metacritic.com/game/gamecube/fire-emblem-path-of-radiance",85,8.9,"Oct 17, 2005"
"gamecube","Ikaruga","none","https://www.metacritic.com/game/gamecube/ikaruga",85,8.5,"Apr 15, 2003"
